countyname,countycode,date,avg_tem,max_tem,min_tem,avg_rhu,min_rhu,eve_pre,mor_pre,day_pre
东城区,110101,1995-01-01,5.4593,10.4459,2.0,85.5457,90.0,2.1592,7.5563,15.0
西城区,110102,1995-01-01,5.4951,10.5496,2.0,85.6541,90.0,2.2111,7.445,15.0
朝阳区,110105,1995-01-01,5.3829,10.2474,2.0,85.321,90.0,2.0339,7.7831,15.0
丰台区,110106,1995-01-01,5.5547,10.5821,2.0,85.6459,90.0,2.3704,7.5656,15.0
石景山区,110107,1995-01-01,5.6248,10.8586,2.0,85.8975,90.0,2.441,7.2874,15.0
海淀区,110108,1995-01-01,5.6254,11.0696,2.0,86.1598,90.0,2.3257,6.8544,15.0
东城区,110101,1995-01-02,4.5743,10.4544,0.4593,80.7808,92.8716,0.8438,0.5,1.2656
西城区,110102,1995-01-02,4.5916,10.3852,0.4951,80.6823,92.958,0.8635,0.5,1.286
朝阳区,110105,1995-01-02,4.5412,10.6215,0.3829,80.9989,92.7062,0.8002,0.5,1.2215
丰台区,110106,1995-01-02,4.597,10.1728,0.5547,80.316,92.9851,0.9368,0.5,1.3343
石景山区,110107,1995-01-02,4.6431,10.0787,0.6248,80.1528,93.2155,0.9694,0.5,1.3728
海淀区,110108,1995-01-02,4.6783,10.2324,0.6254,80.4594,93.3914,0.9081,0.5,1.3494
